h,q,lambda,persist,candidate_rows,add_tp,add_fp,union_tp,union_fp,union_precision,union_recall,candidate_precision
6,0.99,1,2of3,3477,1732,1690,1801,2689,0.40111358574610245,0.4622689938398357,0.5076215127983894
6,0.995,1,2of3,3315,1685,1577,1754,2576,0.405080831408776,0.4502053388090349,0.5182503770739065
6,0.999,1,2of3,3212,1663,1499,1732,2498,0.4094562647754137,0.44455852156057496,0.5277085927770859
12,0.99,1,3of4,3209,1626,1526,1695,2525,0.40165876777251186,0.43506160164271046,0.5166718603926457
6,0.99,2,2of3,3224,1609,1563,1678,2562,0.39575471698113207,0.4306981519507187,0.5089950372208437
12,0.995,1,3of4,3140,1607,1480,1676,2479,0.4033694344163658,0.43018480492813144,0.5219745222929937
6,0.995,2,2of3,3101,1578,1473,1647,2472,0.3998543335761107,0.42274127310061604,0.5191873589164786
12,0.999,1,3of4,3078,1577,1449,1646,2448,0.40205178309721545,0.4224845995893224,0.5224171539961013
6,0.99,0,3of4,3439,1566,1815,1635,2814,0.3674983142279164,0.4196611909650924,0.4643791799941844
6,0.999,2,2of3,3061,1561,1451,1630,2450,0.39950980392156865,0.4183778234086242,0.5200914733747142
6,0.995,0,3of4,3174,1521,1600,1590,2599,0.37956552876581523,0.40811088295687886,0.4886578449905482
12,0.99,2,3of4,2962,1503,1412,1572,2411,0.39467737886015564,0.40349075975359344,0.5168804861580013
6,0.999,0,3of4,3120,1499,1570,1568,2569,0.3790186125211506,0.4024640657084189,0.4897435897435897
12,0.995,2,3of4,2918,1479,1392,1548,2391,0.392993145468393,0.3973305954825462,0.5164496230294723
12,0.999,2,3of4,2884,1459,1378,1528,2377,0.3912932138284251,0.3921971252566735,0.5156033287101248
6,0.99,1,3of4,2826,1407,1372,1476,2371,0.38367559136989865,0.3788501026694045,0.5088464260438783
6,0.995,1,3of4,2741,1367,1328,1436,2327,0.3816104172203029,0.36858316221765913,0.5096680043779642
6,0.999,1,3of4,2700,1349,1306,1418,2305,0.38087563792640344,0.3639630390143737,0.5103703703703704
6,0.99,2,3of4,2650,1294,1313,1363,2312,0.3708843537414966,0.3498459958932238,0.49886792452830186
6,0.995,2,3of4,2594,1274,1279,1343,2278,0.37089201877934275,0.3447125256673511,0.5011565150346955
6,0.999,2,3of4,2568,1257,1270,1326,2269,0.36884561891515993,0.34034907597535935,0.49961059190031154
