h,q,lambda,persist,candidate_rows,add_tp,add_fp,union_tp,union_fp,union_precision,union_recall,candidate_recall,candidate_precision
12,0.999,2.0,1of1,3315,1713,1548,1782,2547,0.41164241164241167,0.4573921971252567,0.44840862422997946,0.5269984917043741
12,0.999,0.0,2of3,3842,1712,2071,1781,3070,0.3671407957122243,0.45713552361396304,0.44686858316221767,0.4531494013534617
12,0.99,0.5,3of4,4073,1708,2292,1777,3291,0.35063141278610893,0.4561088295687885,0.44686858316221767,0.4274490547507979
12,0.995,0.0,3of4,4129,1693,2363,1762,3362,0.343871975019516,0.45225872689938396,0.4430184804928131,0.41801889077258414
6,0.99,0.5,2of3,4255,1691,2496,1760,3495,0.33491912464319695,0.4517453798767967,0.4412217659137577,0.40399529964747355
6,0.995,2.0,1of1,3346,1676,1617,1745,2616,0.4001375831231369,0.4478952772073922,0.438911704312115,0.5110579796772265
6,0.999,0.0,1of1,3461,1671,1725,1740,2724,0.3897849462365591,0.446611909650924,0.4383983572895277,0.4934989887315805
6,0.995,0.0,2of3,4191,1653,2468,1722,3467,0.3318558489111582,0.4419917864476386,0.43121149897330596,0.4008589835361489
12,0.995,2.0,2of3,3632,1652,1921,1721,2920,0.37082525317819437,0.441735112936345,0.43146817248459957,0.4628303964757709
12,0.999,0.5,2of3,3546,1644,1849,1713,2848,0.37557553168164876,0.4396817248459959,0.4294147843942505,0.4717992103778906
12,0.99,1.0,3of4,3777,1636,2077,1705,3076,0.35661995398452206,0.43762833675564683,0.42761806981519507,0.441090812814403
6,0.999,0.5,1of1,3156,1612,1487,1681,2486,0.40340772738180947,0.43146817248459957,0.42299794661190965,0.5221799746514575
6,0.99,1.0,2of3,3814,1610,2143,1679,3142,0.3482679941920763,0.4309548254620123,0.4201745379876797,0.42920818038804404
12,0.995,0.5,3of4,3673,1608,2000,1677,2999,0.3586398631308811,0.43044147843942504,0.4209445585215606,0.4465014974135584
6,0.999,1.0,1of1,3019,1571,1396,1640,2395,0.40644361833952913,0.4209445585215606,0.41196098562628336,0.5316329910566413
12,0.999,1.0,2of3,3323,1562,1711,1631,2710,0.37571988021193276,0.4186344969199179,0.40811088295687886,0.4784832982244959
6,0.995,0.5,2of3,3590,1557,1977,1626,2976,0.3533246414602347,0.4173511293634497,0.40605749486652976,0.4406685236768802
6,0.999,2.0,1of1,2857,1514,1294,1583,2293,0.4084107327141383,0.4063141683778234,0.3968172484599589,0.5411270563528177
12,0.995,1.0,3of4,3357,1501,1797,1570,2796,0.3595968850206138,0.4029774127310062,0.39271047227926076,0.45576407506702415
6,0.99,2.0,2of3,3338,1498,1789,1567,2788,0.3598163030998852,0.40220739219712526,0.39117043121149897,0.45656081485919714
6,0.995,1.0,2of3,3328,1496,1779,1565,2778,0.36034998848722083,0.401694045174538,0.39040041067761805,0.45703125
6,0.99,0.0,3of4,3816,1458,2293,1527,3292,0.3168707200664038,0.3919404517453799,0.3811601642710472,0.3891509433962264
12,0.999,2.0,2of3,3065,1454,1564,1523,2563,0.37273617229564365,0.39091375770020537,0.38039014373716634,0.4835236541598695
12,0.99,2.0,3of4,3186,1436,1698,1505,2697,0.3581627796287482,0.3862936344969199,0.37525667351129366,0.4588826114249843
12,0.999,0.0,3of4,3089,1403,1633,1472,2632,0.3586744639376218,0.37782340862423,0.36704312114989734,0.4629329880220136
6,0.995,2.0,2of3,3001,1398,1560,1467,2559,0.36438152011922503,0.3765400410677618,0.3652464065708419,0.47417527490836386
6,0.999,0.0,2of3,3134,1398,1688,1467,2687,0.35315358690418874,0.3765400410677618,0.36473305954825463,0.4534141671984684
6,0.99,0.5,3of4,3224,1354,1817,1423,2816,0.33569238027836756,0.3652464065708419,0.35395277207392195,0.4277295285359802
12,0.999,0.5,3of4,2867,1329,1490,1398,2489,0.35966040648314895,0.35882956878850103,0.3480492813141684,0.4729682595047088
6,0.999,0.5,2of3,2896,1329,1525,1398,2524,0.35645079041305455,0.35882956878850103,0.3470225872689938,0.46685082872928174
12,0.995,2.0,3of4,2904,1327,1529,1396,2528,0.35575942915392456,0.35831622176591377,0.3470225872689938,0.465564738292011
6,0.995,0.0,3of4,3148,1311,1787,1380,2786,0.33125300048007683,0.3542094455852156,0.34265913757700206,0.42407878017789075
6,0.999,1.0,2of3,2770,1293,1437,1362,2436,0.358609794628752,0.3495893223819302,0.337782340862423,0.4750902527075812
6,0.99,1.0,3of4,2941,1278,1615,1347,2614,0.3400656399899015,0.3457392197125257,0.33418891170431214,0.4427065623937436
12,0.999,1.0,3of4,2667,1243,1380,1312,2379,0.3554592251422379,0.33675564681724846,0.32546201232032856,0.4754405699287589
6,0.995,0.5,3of4,2816,1235,1537,1304,2536,0.33958333333333335,0.3347022587268994,0.32263860369609854,0.4463778409090909
6,0.999,2.0,2of3,2633,1233,1361,1302,2360,0.3555434188967777,0.33418891170431214,0.3221252566735113,0.47664261298898597
6,0.995,1.0,3of4,2632,1177,1414,1246,2413,0.3405301995080623,0.31981519507186856,0.30749486652977415,0.4551671732522796
6,0.99,2.0,3of4,2606,1170,1393,1239,2392,0.34122831175984575,0.3180184804928131,0.30621149897330596,0.4577897160399079
12,0.999,2.0,3of4,2478,1149,1288,1218,2287,0.34750356633380886,0.31262833675564683,0.3013347022587269,0.4737691686844229
6,0.999,0.0,3of4,2452,1095,1318,1164,2317,0.3343866704969836,0.29876796714579057,0.28619096509240244,0.45473083197389885
6,0.995,2.0,3of4,2379,1077,1269,1146,2268,0.335676625659051,0.29414784394250515,0.281570841889117,0.46111811685582177
6,0.999,0.5,3of4,2314,1036,1244,1105,2243,0.3300477897252091,0.2836242299794661,0.27104722792607805,0.45635263612791704
6,0.999,1.0,3of4,2216,995,1189,1064,2188,0.32718327183271834,0.2731006160164271,0.26026694045174537,0.4575812274368231
6,0.999,2.0,3of4,2117,937,1149,1006,2148,0.3189600507292327,0.2582135523613963,0.24512320328542095,0.45111006140765236
